Time,Region,N95s/KN95s,Masks,Gowns,Gloves,Ventilators,Confirmed Cases,Hospitalized Total,Hospitalized ICU,Total Persons Tested,Percent Positivity,Deaths
4/29/2020,Central Massachusetts,138350,263767,43293,454250,79,5363,316,95,,,
4/30/2020,Central Massachusetts,146820,269267,43573,457450,79,,334,95,,,
5/1/2020,Central Massachusetts,157800,276767,43838,472050,79,,329,93,,,
5/2/2020,Central Massachusetts,161960,277517,44658,480450,79,,321,93,,,
5/3/2020,Central Massachusetts,161960,277517,44658,480450,79,,320,89,,,
5/4/2020,Central Massachusetts,163460,282217,46432,484950,79,,315,92,,,
5/5/2020,Central Massachusetts,166124,288517,46602,485650,79,,301,92,,,
5/6/2020,Central Massachusetts,170144,292767,46627,794650,79,7056,295,94,,,
5/7/2020,Central Massachusetts,171924,297017,46902,807550,79,,296,92,,,
5/8/2020,Central Massachusetts,173784,308267,47110,818550,79,,308,94,,,
5/9/2020,Central Massachusetts,179008,318717,47550,833250,79,,290,92,,,
5/10/2020,Central Massachusetts,179008,318767,47570,833250,79,,285,91,,,
5/11/2020,Central Massachusetts,180328,326767,47590,842850,79,,299,93,,,
5/12/2020,Central Massachusetts,181868,337067,50070,843250,79,,286,93,,,
5/13/2020,Central Massachusetts,184220,350367,54390,858250,79,8335,287,92,,,
5/14/2020,Central Massachusetts,187620,356867,58400,863950,79,,271,86,,,
5/15/2020,Central Massachusetts,188540,359417,58400,882150,79,,272,85,,,
5/16/2020,Central Massachusetts,188900,361167,58500,885650,79,,265,85,,,
5/17/2020,Central Massachusetts,188900,361417,58625,886250,79,,290,85,,,
5/18/2020,Central Massachusetts,188900,361417,58625,886250,79,,267,77,,,
5/19/2020,Central Massachusetts,190120,361617,58945,887250,79,,251,74,,,
5/20/2020,Central Massachusetts,191280,364617,60380,889350,79,9857,269,75,,,
5/21/2020,Central Massachusetts,204960,368717,61820,896850,79,,274,82,,,
5/22/2020,Central Massachusetts,215440,385317,66030,900950,83,,259,86,,,
5/23/2020,Central Massachusetts,215440,385317,66030,900950,83,,231,79,,,
5/24/2020,Central Massachusetts,215440,385317,66030,900950,83,,241,77,,,
5/25/2020,Central Massachusetts,215440,385317,66030,900950,83,,247,77,,,
5/26/2020,Central Massachusetts,216474,386267,67842,902450,83,,214,70,,,
5/27/2020,Central Massachusetts,220534,392367,69922,905950,83,10743,253,74,,,
6/3/2020,Central Massachusetts,239254,420667,75489,975650,83,11296,166,49,,,
6/10/2020,Central Massachusetts,246659,456767,79129,986150,83,11641,118,34,,,
6/17/2020,Central Massachusetts,245449,462867,83339,1003150,83,11827,85,23,,,
6/24/2020,Central Massachusetts,246509,465367,84339,1007650,83,12001,84,17,,,
7/1/2020,Central Massachusetts,248049,472067,88739,1013850,83,12148,47,13,,,
7/8/2020,Central Massachusetts,249229,474167,90249,1015450,83,12296,53,12,,,
7/15/2020,Central Massachusetts,254659,493317,93149,1026050,83,12409,33,3,,,
7/22/2020,Central Massachusetts,425969,687317,93149,1027050,83,12541,27,5,,,
7/29/2020,Central Massachusetts,546539,814117,93179,1027650,83,12726,23,7,,,
8/5/2020,Central Massachusetts,549419,820117,95779,1037650,83,12968,31,8,,,
8/12/2020,Central Massachusetts,864179,1141467,95779,1067250,83,13138,,,,,
4/29/2020,Metro Boston,94235,130800,23036,465692,204,12539,1194,388,,,
4/30/2020,Metro Boston,98042,131100,23036,468492,204,,1128,377,,,
5/1/2020,Metro Boston,107771,138300,23236,525092,204,,1055,351,,,
5/2/2020,Metro Boston,114482,138300,23236,525092,204,,1049,341,,,
5/3/2020,Metro Boston,114482,138300,23236,525092,204,,1025,338,,,
5/4/2020,Metro Boston,114642,144300,27956,530892,204,,1009,346,,,
5/5/2020,Metro Boston,115642,144300,27956,530892,204,,1024,334,,,
5/6/2020,Metro Boston,115642,146600,27956,535892,204,14476,1011,330,,,
5/7/2020,Metro Boston,119297,157100,27956,539292,204,,986,308,,,
5/8/2020,Metro Boston,120333,169100,27956,541892,204,,919,297,,,
5/9/2020,Metro Boston,120578,171600,27956,546192,204,,841,278,,,
5/10/2020,Metro Boston,124238,179600,27956,548192,204,,845,267,,,
5/11/2020,Metro Boston,124958,183600,27956,552392,204,,814,269,,,
5/12/2020,Metro Boston,127621,187600,30516,574592,204,,817,277,,,
5/13/2020,Metro Boston,127621,187600,31366,575792,204,15587,823,264,,,
5/14/2020,Metro Boston,128741,193700,32646,578492,204,,776,260,,,
5/15/2020,Metro Boston,128861,196200,32646,593892,204,,757,240,,,
5/16/2020,Metro Boston,128981,196200,32646,613792,204,,746,240,,,
5/17/2020,Metro Boston,128981,196200,32646,613792,204,,721,226,,,
5/18/2020,Metro Boston,130981,202200,36646,614992,204,,704,223,,,
5/19/2020,Metro Boston,130981,206200,36646,614992,204,,703,228,,,
5/20/2020,Metro Boston,135101,217400,37846,626992,204,16962,703,240,,,
5/21/2020,Metro Boston,145775,226400,40486,628592,204,,677,214,,,
5/22/2020,Metro Boston,153390,228400,40806,628592,204,,610,208,,,
5/23/2020,Metro Boston,153390,228400,40806,628592,204,,608,195,,,
5/24/2020,Metro Boston,153390,228400,40806,628592,204,,574,178,,,
5/25/2020,Metro Boston,153390,228400,40806,628592,204,,576,198,,,
5/26/2020,Metro Boston,155274,231650,43206,628592,204,,569,190,,,
5/27/2020,Metro Boston,157158,234150,43206,646892,204,17596,583,176,,,
6/3/2020,Metro Boston,159715,238150,46156,676892,204,18108,442,125,,,
6/10/2020,Metro Boston,161838,242350,47216,673292,204,18398,404,100,,,
6/17/2020,Metro Boston,163040,246350,48436,678892,204,18652,288,77,,,
6/24/2020,Metro Boston,163736,251350,48511,691942,204,18805,250,67,,,
7/1/2020,Metro Boston,165116,256850,49011,701342,204,18978,215,41,,,
7/8/2020,Metro Boston,168236,259850,49511,716342,204,19186,203,26,,,
7/15/2020,Metro Boston,179881,294100,51711,720342,204,19428,193,35,,,
7/22/2020,Metro Boston,345331,467100,54111,720342,204,19637,149,14,,,
7/29/2020,Metro Boston,370891,475350,54111,720342,204,19940,92,13,,,
8/5/2020,Metro Boston,371961,478450,54111,722342,204,20448,90,10,,,
8/12/2020,Metro Boston,371961,478450,54111,785742,204,20899,,,,,
4/29/2020,Metro West,212466,373412,50610,372180,136,12601,1136,291,,,
4/30/2020,Metro West,219847,381712,51910,375180,136,,1098,288,,,
5/1/2020,Metro West,242932,393862,52170,396280,136,,1073,268,,,
5/2/2020,Metro West,263270,405662,52170,432080,136,,1010,260,,,
5/3/2020,Metro West,271270,421762,52195,451680,136,,1044,248,,,
5/4/2020,Metro West,274940,435762,52607,458730,136,,997,235,,,
5/5/2020,Metro West,283620,458262,53607,512330,136,,965,253,,,
5/6/2020,Metro West,292073,475762,55812,592330,136,14825,1010,253,,,
5/7/2020,Metro West,297451,482982,56137,614330,136,,960,224,,,
5/8/2020,Metro West,300560,502082,57437,625730,136,,921,213,,,
5/9/2020,Metro West,307821,537882,64027,654630,136,,909,224,,,
5/10/2020,Metro West,321621,539882,64027,662030,136,,859,227,,,
5/11/2020,Metro West,327121,547882,65527,667230,136,,822,224,,,
5/12/2020,Metro West,330559,557782,67447,685330,136,,850,220,,,
5/13/2020,Metro West,336159,564732,71127,701630,136,16491,853,209,,,
5/14/2020,Metro West,338309,569932,74077,707930,136,,809,213,,,
5/15/2020,Metro West,340009,585732,78237,772530,136,,738,202,,,
5/16/2020,Metro West,356209,592232,85437,815130,136,,708,202,,,
5/17/2020,Metro West,356239,592732,86637,815202,136,,684,187,,,
5/18/2020,Metro West,365359,600732,86957,836402,136,,666,185,,,
5/19/2020,Metro West,366689,605782,86997,847002,136,,636,177,,,
5/20/2020,Metro West,380619,610582,88237,870902,136,17755,672,173,,,
5/21/2020,Metro West,408431,626032,94057,882302,136,,632,176,,,
5/22/2020,Metro West,431660,634532,100547,903002,136,,585,160,,,
5/23/2020,Metro West,431660,634532,100547,903002,136,,584,164,,,
5/24/2020,Metro West,431660,634532,100547,903002,136,,600,145,,,
5/25/2020,Metro West,431660,634532,100547,903002,136,,554,146,,,
5/26/2020,Metro West,438247,647332,123827,953002,136,,564,141,,,
5/27/2020,Metro West,449855,661482,128047,977602,136,18580,552,149,,,
6/3/2020,Metro West,463396,687532,135759,1052774,136,19245,423,103,,,
6/10/2020,Metro West,479836,722682,145989,1121074,136,19490,300,81,,,
6/17/2020,Metro West,486648,724682,148709,1182274,136,19706,253,57,,,
6/24/2020,Metro West,514245,730682,150139,1188574,136,19906,243,40,,,
7/1/2020,Metro West,516985,737682,154039,1233574,136,20047,187,33,,,
7/8/2020,Metro West,518680,737682,160914,1246574,136,20195,188,27,,,
7/15/2020,Metro West,535320,783032,162441,1319174,136,20346,158,17,,,
7/22/2020,Metro West,978560,1232432,163441,1319574,136,20589,157,20,,,
7/29/2020,Metro West,1221330.188,1510082,169731,1358574,136,20880,144,19,,,
8/5/2020,Metro West,1229780.188,1538182,172781,1368374,136,21274,124,22,,,
8/12/2020,Metro West,1555340.188,1880582,173181,1379534,136,21530,,,,,
4/29/2020,Northeastern Massachusetts,113720,226198,22974,335932,117,14920,488,108,,,
4/30/2020,Northeastern Massachusetts,116617,228198,23134,337932,117,,502,106,,,
5/1/2020,Northeastern Massachusetts,124876,240448,23984,389532,117,,475,100,,,
5/2/2020,Northeastern Massachusetts,135140,242598,24404,395832,117,,479,102,,,
5/3/2020,Northeastern Massachusetts,135140,242598,24404,395832,117,,491,110,,,
5/4/2020,Northeastern Massachusetts,140000,250798,24404,399632,117,,491,116,,,
5/5/2020,Northeastern Massachusetts,143400,256483,24949,414732,117,,504,110,,,
5/6/2020,Northeastern Massachusetts,144600,260413,27849,427832,117,18056,489,111,,,
5/7/2020,Northeastern Massachusetts,149592,263513,27909,439632,117,,472,106,,,
5/8/2020,Northeastern Massachusetts,152647,272113,28309,465232,117,,490,106,,,
5/9/2020,Northeastern Massachusetts,154505,275063,28974,466432,117,,466,104,,,
5/10/2020,Northeastern Massachusetts,155905,279063,29074,470632,117,,431,105,,,
5/11/2020,Northeastern Massachusetts,156905,283063,29874,477032,117,,434,102,,,
5/12/2020,Northeastern Massachusetts,157883,287813,31784,495832,117,,437,93,,,
5/13/2020,Northeastern Massachusetts,158983,297113,32024,514032,117,20158,424,99,,,
5/14/2020,Northeastern Massachusetts,161303,303213,34824,517632,117,,418,94,,,
5/15/2020,Northeastern Massachusetts,162103,308163,33964,523732,117,,412,101,,,
5/16/2020,Northeastern Massachusetts,162463,312363,34474,535532,117,,367,97,,,
5/17/2020,Northeastern Massachusetts,162513,312363,34474,539532,117,,354,94,,,
5/18/2020,Northeastern Massachusetts,163473,314363,34474,539532,117,,342,80,,,
5/19/2020,Northeastern Massachusetts,163593,317663,34874,552932,117,,363,83,,,
5/20/2020,Northeastern Massachusetts,164193,320263,35174,559032,117,22088,349,77,,,
5/21/2020,Northeastern Massachusetts,174839,328563,36284,574632,117,,305,68,,,
5/22/2020,Northeastern Massachusetts,182715,335563,37244,590232,117,,284,62,,,
5/23/2020,Northeastern Massachusetts,182715,335563,37244,590232,117,,262,57,,,
5/24/2020,Northeastern Massachusetts,182715,335563,37244,590232,117,,282,59,,,
5/25/2020,Northeastern Massachusetts,182715,335563,37244,590232,117,,264,56,,,
5/26/2020,Northeastern Massachusetts,184565,337663,39884,614332,117,,268,53,,,
5/27/2020,Northeastern Massachusetts,186775,339663,40604,614332,117,23370,265,56,,,
6/3/2020,Northeastern Massachusetts,193712,366013,42635,688832,117,24334,196,38,,,
6/10/2020,Northeastern Massachusetts,196071,375913,46315,700832,117,25003,160,34,,,
6/17/2020,Northeastern Massachusetts,198897,385913,49195,703632,117,25424,137,27,,,
6/24/2020,Northeastern Massachusetts,200936,390163,50520,726632,117,25734,129,22,,,
7/1/2020,Northeastern Massachusetts,201506,391063,50870,730632,117,26022,103,18,,,
7/8/2020,Northeastern Massachusetts,202526,392663,51370,731132,117,26316,94,16,,,
7/15/2020,Northeastern Massachusetts,207526,442163,52670,739632,117,26659,65,9,,,
7/22/2020,Northeastern Massachusetts,575436,857263,55670,744632,117,26969,71,9,,,
7/29/2020,Northeastern Massachusetts,876266,1225163,55820,744632,117,27346,37,6,,,
8/5/2020,Northeastern Massachusetts,891786,1242163,55920,746632,117,27934,52,7,,,
8/12/2020,Northeastern Massachusetts,1119235.941,1473313,56270,761992,117,28416,,,,,
4/29/2020,Southeastern Massachusetts,234696,408835,66317,686220,79,9446,466,89,,,
4/30/2020,Southeastern Massachusetts,241012,427435,70952,713120,79,,503,90,,,
5/1/2020,Southeastern Massachusetts,255270,436935,71742,759720,79,,530,96,,,
5/2/2020,Southeastern Massachusetts,259787,443585,72562,778620,79,,488,85,,,
5/3/2020,Southeastern Massachusetts,260497,453585,76912,797020,79,,489,84,,,
5/4/2020,Southeastern Massachusetts,262647,463085,77792,804720,79,,490,78,,,
5/5/2020,Southeastern Massachusetts,265127,475085,78712,810120,79,,507,79,,,
5/6/2020,Southeastern Massachusetts,271607,494885,80542,853420,79,11616,523,91,,,
5/7/2020,Southeastern Massachusetts,272477,505735,82232,881420,79,,495,84,,,
5/8/2020,Southeastern Massachusetts,277503,533285,83940,938220,79,,487,81,,,
5/9/2020,Southeastern Massachusetts,279313,542885,86450,955720,79,,509,79,,,
5/10/2020,Southeastern Massachusetts,286293,552985,87100,963064,79,,499,78,,,
5/11/2020,Southeastern Massachusetts,288573,562985,87400,980664,79,,543,80,,,
5/12/2020,Southeastern Massachusetts,289493,570235,90750,998864,79,,525,86,,,
5/13/2020,Southeastern Massachusetts,294853,579135,93570,1020308,79,13243,500,86,,,
5/14/2020,Southeastern Massachusetts,297303,590535,97995,1036308,79,,387,88,,,
5/15/2020,Southeastern Massachusetts,297679,593485,98235,1043608,79,,369,84,,,
5/16/2020,Southeastern Massachusetts,301119,602235,99129,1058708,79,,392,84,,,
5/17/2020,Southeastern Massachusetts,301519,602235,99129,1058708,79,,352,77,,,
5/18/2020,Southeastern Massachusetts,305519,602235,99129,1069508,79,,348,73,,,
5/19/2020,Southeastern Massachusetts,305549,603885,99359,1074708,79,,338,76,,,
5/20/2020,Southeastern Massachusetts,306789,610735,101149,1111008,79,14953,352,72,,,
5/21/2020,Southeastern Massachusetts,326197,617485,104314,1145208,79,,338,71,,,
5/22/2020,Southeastern Massachusetts,340758,628435,112004,1190408,79,,390,72,,,
5/23/2020,Southeastern Massachusetts,340758,628435,112004,1190408,79,,387,78,,,
5/24/2020,Southeastern Massachusetts,340758,628435,112004,1190408,79,,319,60,,,
5/25/2020,Southeastern Massachusetts,340758,628435,112004,1190408,79,,336,62,,,
5/26/2020,Southeastern Massachusetts,345931,634385,120014,1197508,79,,329,66,,,
5/27/2020,Southeastern Massachusetts,354094,643835,121174,1198208,79,16026,311,67,,,
6/3/2020,Southeastern Massachusetts,371135,674335,127784,1338408,79,16832,344,62,,,
6/10/2020,Southeastern Massachusetts,377062,691835,131684,1369208,79,17297,282,55,,,
6/17/2020,Southeastern Massachusetts,378627,697785,134614,1370008,79,17597,157,30,,,
6/24/2020,Southeastern Massachusetts,381785,705885,138104,1436408,79,17770,191,28,,,
7/1/2020,Southeastern Massachusetts,383545,705885,139104,1453608,79,17965,155,15,,,
7/8/2020,Southeastern Massachusetts,388295,713385,140304,1471908,79,18123,79,14,,,
7/15/2020,Southeastern Massachusetts,402660,755335,145104,1519908,79,18280,93,9,,,
7/22/2020,Southeastern Massachusetts,627550,1085285,146004,1536908,79,18501,81,9,,,
7/29/2020,Southeastern Massachusetts,845815,1336835,149674,1572708,79,18803,55,11,,,
8/5/2020,Southeastern Massachusetts,957085,1467935,151024,1596908,79,19143,40,5,,,
8/12/2020,Southeastern Massachusetts,1273784.573,1783185,151924,1607908,79,19411,,,,,
4/29/2020,Western Massachusetts,156323,300642,50128,324630,60,5052,254,40,,,
4/30/2020,Western Massachusetts,164593,307842,51448,327530,60,,235,45,,,
5/1/2020,Western Massachusetts,182115,331842,51448,339430,60,,250,39,,,
5/2/2020,Western Massachusetts,189375,335292,52523,344430,60,,254,40,,,
5/3/2020,Western Massachusetts,189375,335292,52523,344430,60,,248,35,,,
5/4/2020,Western Massachusetts,194375,345392,52573,350430,60,,237,41,,,
5/5/2020,Western Massachusetts,195195,349592,52573,359230,60,,241,46,,,
5/6/2020,Western Massachusetts,196135,356892,52813,366030,60,5773,236,43,,,
5/7/2020,Western Massachusetts,202501,361247,53413,377530,60,,227,38,,,
5/8/2020,Western Massachusetts,204921,370047,54049,380730,60,,224,35,,,
5/9/2020,Western Massachusetts,206461,376447,56599,384030,60,,214,37,,,
5/10/2020,Western Massachusetts,207461,376447,56609,386030,60,,209,42,,,
5/11/2020,Western Massachusetts,209621,384447,56609,392430,60,,190,45,,,
5/12/2020,Western Massachusetts,215871,389597,57459,393030,60,,212,49,,,
5/13/2020,Western Massachusetts,217121,402897,58829,399030,60,6526,214,44,,,
5/14/2020,Western Massachusetts,217607,408947,60689,405130,60,,198,40,,,
5/15/2020,Western Massachusetts,220967,427547,67109,412930,60,,219,37,,,
5/16/2020,Western Massachusetts,221407,427997,67399,421530,60,,214,39,,,
5/17/2020,Western Massachusetts,221413,427997,67399,421530,60,,196,33,,,
5/18/2020,Western Massachusetts,221413,427997,67879,421530,60,,206,36,,,
5/19/2020,Western Massachusetts,222427,433047,68279,421530,60,,181,34,,,
5/20/2020,Western Massachusetts,223347,435347,69279,433930,60,7164,173,38,,,
5/21/2020,Western Massachusetts,247447,453347,71939,450930,60,,170,36,,,
5/22/2020,Western Massachusetts,257907,466697,73259,466630,60,,168,35,,,
5/23/2020,Western Massachusetts,257907,466697,73259,466630,60,,165,37,,,
5/24/2020,Western Massachusetts,257907,466697,73259,466630,60,,153,39,,,
5/25/2020,Western Massachusetts,257907,466697,73259,466630,60,,155,37,,,
5/26/2020,Western Massachusetts,258507,467497,73589,467630,60,,164,40,,,
5/27/2020,Western Massachusetts,259107,467597,73949,467930,60,7693,142,34,,,
6/3/2020,Western Massachusetts,269912,483597,74919,484930,60,7982,113,16,,,
6/10/2020,Western Massachusetts,274382,493747,77299,504643,60,8157,81,15,,,
6/17/2020,Western Massachusetts,274972,496797,76569,499630,60,8281,78,13,,,
6/24/2020,Western Massachusetts,275262,508247,83649,536043,60,8394,42,7,,,
7/1/2020,Western Massachusetts,276162,512647,85099,540443,60,8549,53,3,,,
7/8/2020,Western Massachusetts,276922,515447,87499,547443,60,8689,45,7,,,
7/15/2020,Western Massachusetts,294047,566447,88599,548443,60,8844,38,7,,,
7/22/2020,Western Massachusetts,626547,908947,90399,550943,60,9002,47,6,,,
7/29/2020,Western Massachusetts,1076842,1377397,91849,557183,60,9207,39,6,,,
8/5/2020,Western Massachusetts,1298047,1627297,93699,574481,60,9428,59,5,,,
8/12/2020,Western Massachusetts,1298292,1630897,93699,587977,60,9587,,,,,
4/29/2020,State Agency,41036,159758,29437,1348380,0,,,,,,
4/30/2020,State Agency,41296,160884,30347,1446180,0,,,,,,
5/1/2020,State Agency,42296,166088,30347,1451380,0,,,,,,
5/2/2020,State Agency,48536,252838,30623,1633180,0,,,,,,
5/3/2020,State Agency,48536,252838,30623,1633180,0,,,,,,
5/4/2020,State Agency,55636,260250,48233,1659980,0,,,,,,
5/5/2020,State Agency,55836,260250,48233,1659980,0,,,,,,
5/6/2020,State Agency,55996,263108,48458,1703380,0,,,,,,
5/7/2020,State Agency,60386,288108,50008,1821380,0,,,,,,
5/8/2020,State Agency,61236,295202,50108,1913680,0,,,,,,
5/9/2020,State Agency,62242,297504,50518,1926180,0,,,,,,
5/10/2020,State Agency,62442,307504,50918,1930180,0,,,,,,
5/11/2020,State Agency,62442,307504,50918,1930180,0,,,,,,
5/12/2020,State Agency,66542,362254,70148,2013980,0,,,,,,
5/13/2020,State Agency,66542,362304,70148,2014080,0,,,,,,
5/14/2020,State Agency,73922,360886,70008,2032480,0,,,,,,
5/15/2020,State Agency,74822,371236,71258,2039480,0,,,,,,
5/16/2020,State Agency,74822,373236,71258,2039480,0,,,,,,
5/17/2020,State Agency,74822,373236,71258,2039480,0,,,,,,
5/18/2020,State Agency,77822,380436,71258,2043480,0,,,,,,
5/19/2020,State Agency,78022,382436,71258,2058480,0,,,,,,
5/20/2020,State Agency,79672,392086,84698,2152480,0,,,,,,
5/21/2020,State Agency,79872,392736,84898,2162280,0,,,,,,
5/22/2020,State Agency,85892,414236,85278,2180080,0,,,,,,
5/23/2020,State Agency,85892,414236,85278,2180080,0,,,,,,
5/24/2020,State Agency,85892,414236,85278,2180080,0,,,,,,
5/25/2020,State Agency,85892,414236,85278,2180080,0,,,,,,
5/26/2020,State Agency,85892,414786,85408,2202380,0,,,,,,
5/27/2020,State Agency,86092,415686,99668,2286780,0,,,,,,
6/3/2020,State Agency,87002,420286,106028,2400880,0,,,,,,
6/10/2020,State Agency,808682,485936,111028,2533397,0,,,,,,
6/17/2020,State Agency,808962,420286,106628,2402080,0,,,,,,
6/24/2020,State Agency,2606052,486786,111628,2684697,0,,,,,,
7/1/2020,State Agency,2618002,931036,111648,3194097,0,,,,,,
7/8/2020,State Agency,2633252,948036,111648,3194097,0,,,,,,
7/15/2020,State Agency,2656702,1355036,111648,3595997,0,,,,,,
7/22/2020,State Agency,3867862,1495486,111648,3690997,0,,,,,,
7/29/2020,State Agency,3986262,3262751,111648,3924990,0,,,,,,
8/5/2020,State Agency,3993992,3277151,111648,3924990,0,,,,,,
8/12/2020,State Agency,3993992,3277151,111648,3926430,0,,,,,,
4/29/2020,Massachusetts,990826,1863412,285795,3987284,675,60265,,,,,
4/30/2020,Massachusetts,,,,,,,,,,,
5/1/2020,Massachusetts,,,,,,,,,,,
5/2/2020,Massachusetts,,,,,,,,,,,
5/3/2020,Massachusetts,,,,,,,,,,,
5/4/2020,Massachusetts,,,,,,,,,,,
5/5/2020,Massachusetts,,,,,,,,,,,
5/6/2020,Massachusetts,1246197,2290427,340057,5273534,675,72025,,,,,
5/7/2020,Massachusetts,,,,,,,,,,,
5/8/2020,Massachusetts,,,,,,,,,,,
5/9/2020,Massachusetts,,,,,,,,,,,
5/10/2020,Massachusetts,,,,,,,,,,,
5/11/2020,Massachusetts,,,,,,,,,,,
5/12/2020,Massachusetts,,,,,,,,,,,
5/13/2020,Massachusetts,1385499,2744148,411454,6083122,675,80497,,,,,
5/14/2020,Massachusetts,,,,,,,,,,,
5/15/2020,Massachusetts,,,,,,,,,,,
5/16/2020,Massachusetts,,,,,,,,,,,
5/17/2020,Massachusetts,,,,,,,,,,,
5/18/2020,Massachusetts,,,,,,,,,,,
5/19/2020,Massachusetts,,,,,,,,,,,
5/20/2020,Massachusetts,1481001,2951030,476763,6643694,675,88970,,,,,
5/21/2020,Massachusetts,,,,,,,,,,,
5/22/2020,Massachusetts,,,,,,,,,,,
5/23/2020,Massachusetts,,,,,,,,,,,
5/24/2020,Massachusetts,,,,,,,,,,,
5/25/2020,Massachusetts,,,,,,,,,,,
5/26/2020,Massachusetts,,,,,,,,,,,
5/27/2020,Massachusetts,1713615,3154780,576570,7097694,679,94220,,,,,
6/3/2020,Massachusetts,1784126,3290580,608770,7618366,679,97964,,,,,
6/10/2020,Massachusetts,2544530,3469230,638660,7888596,679,100158,,,,,
6/17/2020,Massachusetts,2556595,3434680,647490,7839666,679,101654,,,,,
6/24/2020,Massachusetts,4388525,3538480,666890,8271946,679,102762,,,,,
7/1/2020,Massachusetts,4409365,4007230,678510,8867546,679,103858,,,,,
7/8/2020,Massachusetts,4437140,4041230,691495,8922946,679,104961,,,,,
7/15/2020,Massachusetts,4530795,4689430,705322,9469546,679,106128,,,,,
7/22/2020,Massachusetts,7447255,6733830,714422,9590446,679,107413,,,,,
7/29/2020,Massachusetts,8923945,10001695,726012,9906079,679,109096,,,,,
8/5/2020,Massachusetts,9292070,10451295,734962,9971377,679,111371,,,,,
8/12/2020,Massachusetts,10476785,11665045,736612,10116833,679,113198,,,,,
